Tutorial's name,Author,Cool Devo Link,Staging link,WCS link (NOT LIVE),Comments,Comments,Reviewed by:,Overall Status,Live
Build Your Own Language Translator on Oracle Cloud,Adrian Png,https://cool.devo.build/tutorials/learning-languages-with-oracle-cloud,https://www-sites.oracle.com/developer.oracle.com/tutorials/learning-languages-with-oracle-cloud/,developer.oracle.com/tutorials/learning-languages-with-oracle-cloud/,"Update MicroPython link to https://micropython.org/(fixed)
Deploy Apache Superset with MySQL Database Service on Oracle Cloud Infrastructure is broken currently(fixed)
H1 changed.",Completed. Ready to review,Manish,Ready,
Install Spring Boot on an compute instance on Oracle Cloud,,https://cool.devo.build/tutorials/install-spring-boot-on-an-oracle-instance,https://www-sites.oracle.com/developer.oracle.com/tutorials/install-spring-boot-on-an-oracle-instance/,developer.oracle.com/tutorials/install-spring-boot-on-an-oracle-instance/,,Completed. Ready to review,Manish,Ready,
Install Node Express on an Oracle Linux Instance,,https://cool.devo.build/tutorials/get-started-with-node-express-on-oracle-cloud,https://www-sites.oracle.com/developer.oracle.com/tutorials/get-started-with-node-express-on-oracle-cloud/,developer.oracle.com/tutorials/get-started-with-node-express-on-oracle-cloud/,"Do we need ""In this tutorial, you use an Oracle Cloud Infrastructure Free Tier account to set up an Oracle Linux compute instance."" under the title of the tutorial?",Completed. Ready to review,Manish,Ready,
,,,,,,,,,
Deploying the Argo CD on Oracle Container Engine for Kubernetes (OKE),Ali Mukadam,https://cool.devo.build/tutorials/deploying-the-argo-project-on-oke,https://www-sites.oracle.com/developer.oracle.com/tutorials/deploying-the-argo-project-on-oke/,developer.oracle.com/tutorials/deploying-the-argo-project-on-oke/,"Update links for Argo Workflow, CD, Rollouts and Events - https://argoproj.github.io/workflows(fixed) https://argoproj.github.io/cd(fixed) https://argoproj.github.io/rollouts(fixed) https://argoproj.github.io/events(fixed)
A second place where Argo CD link is broken needs to be updated too(fixed)",Completed. Ready to review,Manish,Ready,
Deploying Verrazzano on Oracle Container Engine for Kubernetes (OKE),Ali Mukadam,https://cool.devo.build/tutorials/deploying-verrazzano-on-oke,"https://www-sites.oracle.com/developer.oracle.com/tutorials/deploying-verrazzano-on-oke/
https://www-sites.oracle.com/developer.oracle.com/tutorials/multi-cluster-verrazzano-oke/1-deploying-verrazzano-on-oke/","developer.oracle.com/tutorials/deploying-verrazzano-on-oke/
developer.oracle.com/tutorials/multi-cluster-verrazzano-oke/1-deploying-verrazzano-on-oke/","""component"" and ""Application Configuration"" links are redirects. Let's try to fix them.
H1 changed.",Completed. Ready to review,Manish,,
Modernizing the Healthcare platform with a GraalVM Proof of Value,Ali Mukadam,https://cool.devo.build/tutorials/modernize-healthcare-graalvm,https://www-sites.oracle.com/developer.oracle.com/tutorials/modernize-healthcare-graalvm/,developer.oracle.com/tutorials/modernize-healthcare-graalvm/,,Completed. Ready to review,Manish,Ready,
Installing and using Calico on Oracle Container Engine (OKE),Ali Mukadam,https://cool.devo.build/tutorials/calico-with-oke,https://www-sites.oracle.com/developer.oracle.com/tutorials/calico-with-oke/,developer.oracle.com/tutorials/calico-with-oke/,,Completed. Ready to review,Manish,Ready,
Deploying Verrazzano on Oracle Container Engine for Kubernetes Series,Ali Mukadam,https://cool.devo.build/tutorials/multi-cluster-verrazzano-oke/,https://www-sites.oracle.com/developer.oracle.com/tutorials/multi-cluster-verrazzano-oke/,developer.oracle.com/tutorials/multi-cluster-verrazzano-oke/,,Completed. Ready to review,Manish,Ready,
Deploying A Multi-Cluster Verrazzano On Oracle Container Engine for Kubernetes (OKE) Part 1,Ali Mukadam,https://cool.devo.build/tutorials/multi-cluster-verrazzano-oke/2-deploy-multi-cluster-verrazzano-oke,https://www-sites.oracle.com/developer.oracle.com/tutorials/multi-cluster-verrazzano-oke/2-deploy-multi-cluster-verrazzano-oke/,developer.oracle.com/tutorials/multi-cluster-verrazzano-oke/2-deploy-multi-cluster-verrazzano-oke/,"Links broken -
 previous article(fixed)
Deploying Verrazzano on Oracle Container Engine for Kubernetes (OKE)(fixed)
H1 changed.",Completed. Ready to review,Manish,,
